Feature,Source,Raw Value,Transformation,Final Model Value,Used By
elo_diff,"nflverse schedules (game scores, chronological order)","Team Elo ratings; every team starts at ELO_START=1500.0","elo_diff = home_elo - away_elo (no HFA baked in; the model learns home-field from data). Ratings updated only AFTER each final: diff=(home_elo-away_elo)+35; expected=1/(1+10^(-diff/400)); k=20*(|margin|+3)^0.8/(7.5+0.006*|diff|); home_elo += k*(1-expected) on home win / -= k*expected on home loss (zero-sum; ties change nothing). Strictly pre-kickoff by construction.","Float: Elo-point advantage of home team (can be negative)",StackingClassifier (lightgbm + hgb base learners via logistic-regression meta-learner); Elo-only baseline (MNB-NFL-2026.01); margin regressors
off_form_diff,"nflverse schedules (points scored per game)","Per-team chronological list of points scored in final games","Simple mean of the team's last up-to-5 final games: _avg_last(points_for, 5); 0.0 if the team has no prior games (neutral prior, never invented). off_form_diff = avg(home) - avg(away)","Float: recent offensive-form differential (points/game)",StackingClassifier; margin/total regressors
def_form_diff,"nflverse schedules (points allowed per game)","Per-team chronological list of points allowed in final games","Simple mean of last up-to-5 finals; 0.0 if none. def_form_diff = avg(away_points_allowed) - avg(home_points_allowed), so POSITIVE means the home defense is better","Float: recent defensive-form differential (points/game)",StackingClassifier; margin/total regressors
net_form_diff,"nflverse schedules (game margins, home perspective)","Per-team chronological list of margins (home-team perspective)","Simple mean of last up-to-5 finals; 0.0 if none. net_form_diff = avg(home margins) - avg(away margins)","Float: recent net scoring-margin differential (points/game)",StackingClassifier; margin/total regressors
streak_diff,"nflverse schedules (win/loss sequence)","Signed streak counter per team: +1 per win, -1 per loss, RESET to 0 on a tie","streak_diff = home_streak - away_streak. Streaks updated only after finals; a tied game sets the team's streak to 0","Integer difference: signed win-streak differential",StackingClassifier; margin/total regressors
rest_diff,"nflverse schedules (home_rest / away_rest fields, days)","Days of rest for each team as published in the schedule feed","rest_diff = (home_rest if not None else 7) - (away_rest if not None else 7). Missing values default to 7 days (a normal week), never invented","Integer: rest-day advantage for the home team",StackingClassifier; margin/total regressors
div_game,"nflverse schedules (div_game flag)","1/0 (or null) divisional-matchup flag from the schedule feed","1 if div_game == 1 else 0. Null/missing treated as 0","Binary 0/1: divisional matchup",StackingClassifier; margin/total regressors
dome,"nflverse schedules (roof field)","Roof descriptor string, e.g. 'dome', 'closed', 'outdoors', 'open', null","1 if roof string in ('dome','closed') else 0. Missing/unknown treated as 0 (outdoor)","Binary 0/1: dome/closed-roof game",StackingClassifier; margin/total regressors
neutral,"nflverse schedules (location field)","Location descriptor string","1 if location == 'Neutral' else 0","Binary 0/1: neutral-site game",StackingClassifier; margin/total regressors
h2h_margin_avg,"nflverse schedules (past meetings' scores)","List of (kickoff, home-perspective margin, home team) for the team pair","Last up-to-3 meetings converted to CURRENT-home perspective (margin kept if the same team is home, negated otherwise); simple mean. 0.0 if the pair never met","Float: average home-perspective margin over last 3 head-to-head meetings",StackingClassifier; margin/total regressors
week,"nflverse schedules (week number)","Season week number (1-18)","int(week); no transformation","Integer 1-18: week of season",StackingClassifier; margin/total regressors
